kind,address,name,type,owner,other_names,notes
func,0x78A5,load_raw_archive,"far ptr (char *fname, u16 reserve)",platform,load_sound_bank,"see platform; likely | Uncompressed archive (tdsnd.snd) via raw INT 21h; ""%s FILE ERROR""; verified"
func,0x79FF,gfx_free_buffer,"void (u16 doff, u16 dseg)",platform,free_page,see platform; likely | Pops descriptor pool (LIFO) and frees buffer memory (0xA37E); verified
func,0x7A37,blit_or_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,Unclipped OR at hotspot (table CS:7A73); verified
func,0x7A4B,blit_or_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Unclipped OR at x, y; verified"
func,0x7A5F,blit_or_own,"void (u16 off, u16 seg)",platform,draw_or,"see platform; likely | Unclipped OR at own x, y; verified"
func,0x7C3B,blit_and_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,Unclipped AND at hotspot (table CS:7C77); verified
func,0x7C4F,blit_and_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Unclipped AND at x, y; verified"
func,0x7C63,blit_and_own,"void (u16 off, u16 seg)",platform,draw_and_mask,"see platform; likely | Unclipped AND at own x, y; verified"
func,0x7E54,blit_xor_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,Unclipped XOR at hotspot (table CS:7E90); verified
func,0x7E68,blit_xor_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Unclipped XOR at x, y; verified"
func,0x7E7C,blit_xor_own,"void (u16 off, u16 seg)",platform,,"Unclipped XOR at own x, y; verified"
func,0x8058,blit_xor_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,Clipped XOR at hotspot (table CS:8094); verified
func,0x806C,blit_xor_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Clipped XOR at x, y; verified"
func,0x8080,blit_xor_clip_own,"void (u16 off, u16 seg)",platform,,"Clipped XOR at own x, y; verified"
func,0x8308,blit_and_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,Clipped AND at hotspot (table CS:8344); verified
func,0x831C,blit_and_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Clipped AND at x, y; verified"
func,0x8330,blit_and_clip_own,"void (u16 off, u16 seg)",platform,,"Clipped AND at own x, y; verified"
func,0x85D5,gfx_draw_line,"void (s16 x0, s16 y0, s16 x1, s16 y1, u8 colour)",platform,,"Clipped line: H/V via fill_rect, else 16.16 DDA; verified"
func,0x89F0,snd_stop_oneshot,void (void),platform,song_stop,see platform; likely | DS:643E &= 6; verified
func,0x89F6,snd_off,void (void),platform,,DS:643E &= 3; no callers; verified
func,0x89FC,snd_on,void (void),platform,,DS:643E \|= 4; no callers; verified
func,0x8A02,snd_oneshot_active,u8 (void),platform,,DS:643E & 1; no callers; verified
func,0x8A08,snd_stop_all,void (void),platform,sound_stop_all,see platform; likely | DS:643E &= 4; verified
func,0x8A0E,snd_set_loop,"void (u16 off, u16 seg)",platform,,Sets background loop stream; starts it if idle; verified
func,0x8A3E,snd_play_oneshot,"void (u16 off, u16 seg)",platform,,Starts a stream now (current note count still finishes); verified
func,0x8A5B,load_archive,"far ptr (char *fname, u16 reserve)",platform,,"see platform; likely | Cache check, load_packed_archive, relocate offset table; verified"
func,0x8AFD,input_set_mode,void (u16 mode),platform,input_select,see platform; verified | DS:6422 = mode (main: 4); verified
func,0x8B08,gfx_grab_screen,"void (s16 sx, s16 sy, s16 dx, s16 dy, s16 w_bytes, s16 h)",platform,,Copies a screen rectangle into the current RAM target; verified
func,0x8BAF,rand8,u8 (void),platform,rng_next,"Table PRNG DS:6520/6522 (not the CRT rand); verified | platform range: table RNG, rotates table byte"
func,0x8BDC,grab_into_sprite_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Screen → sprite planes at x−hot_x, y−hot_y; unreferenced; verified"
func,0x8C00,grab_into_sprite_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Screen → sprite planes at x, y (background save, caller 0x35C6); verified"
func,0x8C1E,grab_into_sprite_own,"void (u16 off, u16 seg)",platform,,"Screen → sprite planes at own x&~7, y; body 0x8C3C; unreferenced; verified"
func,0x8CC0,mem_init,void (void),platform,dos_mem_init,see platform; likely | Grabs the largest DOS memory block; verified
func,0x8CEC,herc_init,void (void),platform,,"see platform; likely; unreachable in TDEGA | Hercules graphics mode (argv[1] == ""herc""); verified"
func,0x8D3C,herc_shutdown,void (void),platform,,see platform; likely | Hercules back to text mode 7; verified
func,0x8D8C,crc8_b8,"u8 (u8 *buf, int len, u8 seed)",platform,crc8,verified; reflected poly 0xB8 | SCORES checksum (FORMATS.md); verified
func,0x8DC7,copy_protection_check,int (void),platform,copyprot_check,"see platform; drop | 0 = pass, 0xFEF6 = fail; verified"
func,0x91CF,gfx_scroll_window,"void (s16 x, s16 y, s16 w, s16 h, s16 row_step, u16 soff, u16 sseg, s16 srow)",platform,scroll_rect,see platform; guess | EGA write-mode-1 one-row scroll + one sprite row (credits); verified
func,0x92A8,text_input_line,"int (char *buf, int maxlen, int x, int y, u16 timeout)",platform,text_input,see platform; verified | High-score name editor (see game_flow); likely
func,0x94AB,fatal,"void (char *fmt, ...)",platform,,"Text mode, timer_restore, printf, abort; verified"
func,0x94C7,res_find_list,"void (far arc, char *names, far ptr *out)",platform,,res_find for a packed 4-char name list; verified
func,0x9507,draw_text_centered,"void (char *s, int y)",platform,,see platform; verified; x=160-4*len | x = 0xA0 − strlen*4; verified
func,0x9530,draw_rect_outline,"void (x0, y0, x1, y1, colour)",platform,draw_box,see platform; verified | Four fill_rect calls; verified
func,0x95B0,menu_key,int (void),platform,wait_input_deadline,"see platform; verified; 0->-1 Esc->1 | getkey_until_deadline: 0→−1, ESC→1, else code; verified"
func,0x95D9,toupper_c,int (char c),platform,toupper,verified | a–z → A–Z; verified
func,0x95F4,joy_calibrate_screen,void (void),platform,,3×3 grid calibration screen; verified
func,0x97D4,rect_clear_plane,"asm: ES:DI dst, DX width, SI rows, CX skip, BX shift",platform,,RAM: clear sprite-rectangle pixels of one plane; verified
func,0x981E,rect_set_plane,same,platform,,RAM: set sprite-rectangle pixels; verified
func,0x9868,rect_xor_plane,same,platform,,RAM: invert sprite-rectangle pixels; verified
func,0x98C2,rect_clear_plane_ega,same,platform,,EGA read-modify-write variant; verified
func,0x992B,rect_set_plane_ega,same,platform,,EGA variant; verified
func,0x9994,rect_xor_plane_ega,same,platform,,EGA variant (wrong at partial bytes with GC function XOR); verified
func,0x9A01,ticks_now,u16 (void),platform,,Returns DS:642A; verified
func,0x9A05,ticks_elapsed,u16 (u16 start),platform,,\|now − start\| (absolute difference); verified
func,0x9A69,draw_glyph,"void (int x, int y, int idx)",platform,,Blits built-in glyph sprite CS:[0x9A19+idx*2] (text cursor); verified
func,0x9A86,load_packed_archive,"far ptr (char *fname, u16 reserve)",platform,,"`Pckd` header, cache slot, methods 2/3/4/8; verified"
func,0x9C1E,huff_read_tree,void (void),platform,,Method 4 tree (FORMATS.md); verified
func,0x9C76,huff_read_word,int (void),platform,,Two input bytes; likely
func,0x9C90,huff_decode,int (void),platform,,"Next Huffman symbol, −1 at EOF; verified"
func,0x9CF9,rle90_out,void (u8 c),platform,,RLE90 output state machine; verified
func,0x9D64,pack_getc,int (void),platform,,"Buffered 1 KB input, −1 when packed length exhausted; verified"
func,0x9DD3,pack_putc,void (u8 c),platform,,"Huge-pointer output, drops bytes past unpacked length; verified"
func,0x9E1D,lzw_decompress,void (void),platform,,Method 8; verified
func,0x9FA2,lzw_getcode,int (void),platform,,LZW code reader; verified
func,0xA0CF,lzw_alloc_tables,void (void),platform,,"malloc(0x438B); ""DECOMP BUFFER ALLOCATE ERROR""; verified"
func,0xA111,lzw_free_tables,void (void),platform,,free tables; verified
func,0xA12F,joy_read,u8 (void),platform,,"Port 201h timing, adaptive calibration, direction + button bits; verified"
func,0xA280,cache_find,u16 seg (char *fname),platform,,"30-slot archive cache lookup (12 chars, exact case); verified"
func,0xA2BE,cache_alloc,"u16 seg (char *fname, u16 paras, u16 reserve)",platform,,"Low-end allocation with LIFO eviction; ""OUT OF MEMORY LOADING %s""; verified"
func,0xA340,buf_alloc,u16 seg (u16 paras),platform,,"High-end buffer allocation, 8 slots; verified"
func,0xA37E,buf_free,void (u16 seg),platform,,"""BUFFER NOT FOUND RELEASE ERROR""; verified"
func,0xA3B7,gfx_target_save,void (void),platform,,Copies 24 words CS:5A64..5A93 (current + screen descriptor) to DS:6AC4; verified
func,0xA3CB,gfx_target_restore,void (void),platform,,Copies them back; verified
func,0xA3DF,mem_debug_dump,void (void),platform,,MBOT/LOW/HIGH/MTOP dump; unreferenced; verified
func,0xA4D9,gfx_get_target_ptr,u32 (void),platform,,Returns CS:5A60/5A62 (debug dump only); verified
func,0xA4E3,abort,,platform,,MSC 4.x runtime: abort; likely
func,0xA4F8,close,,platform,,MSC 4.x runtime: close; verified
func,0xA50C,_astart,,platform,,MSC 4.x runtime: _astart (entry); verified
func,0xA5B6,fclose,,platform,,MSC 4.x runtime: fclose; verified
func,0xA659,fgets,,platform,,MSC 4.x runtime: fgets; verified
func,0xA6B1,fopen,,platform,,MSC 4.x runtime: fopen; verified
func,0xA6D7,fprintf,,platform,,MSC 4.x runtime: fprintf; verified
func,0xA70E,fscanf,,platform,,MSC 4.x runtime: fscanf; likely
func,0xA722,free,,platform,,MSC 4.x runtime: free; verified
func,0xA730,malloc,,platform,,MSC 4.x runtime: malloc; verified
func,0xA776,open,,platform,,MSC 4.x runtime: open; verified
func,0xA8C7,printf,,platform,,MSC 4.x runtime: printf; verified
func,0xA8FD,srand,,platform,,MSC 4.x runtime: srand; verified
func,0xA90E,rand,,platform,,MSC 4.x runtime: rand; verified
func,0xA93A,read,,platform,,MSC 4.x runtime: read; verified
func,0xAA00,sprintf,,platform,,MSC 4.x runtime: sprintf; verified
func,0xAA51,sscanf,,platform,,MSC 4.x runtime: sscanf; verified
func,0xAA88,strcmp,,platform,,MSC 4.x runtime: strcmp; verified
func,0xAABD,strlen,,platform,,MSC 4.x runtime: strlen; verified
func,0xAAD8,strncpy,,platform,,MSC 4.x runtime: strncpy; verified
func,0xAB00,_filbuf,,platform,,MSC 4.x runtime: _filbuf; likely
func,0xABE2,_flsbuf,,platform,,MSC 4.x runtime: _flsbuf; likely
func,0xAD0D,_freebuf,,platform,,MSC 4.x runtime: _freebuf; likely
func,0xAD3C,_openfile,,platform,,MSC 4.x runtime: _openfile; likely
func,0xAE3F,_stbuf,,platform,,MSC 4.x runtime: _stbuf; likely
func,0xAEDE,_ftbuf,,platform,,MSC 4.x runtime: _ftbuf; likely
func,0xAF67,_nmalloc,,platform,,MSC 4.x runtime: _nmalloc search; likely
func,0xB048,_amlink,,platform,,MSC 4.x runtime: _amlink; guess
func,0xB082,_amexpand,,platform,,MSC 4.x runtime: _amexpand; guess
func,0xB0A4,_amallocbrk,,platform,,MSC 4.x runtime: _amallocbrk; likely
func,0xB0C3,_nullcheck,,platform,,MSC 4.x runtime: _nullcheck; likely
func,0xB0DF,creat,,platform,,MSC 4.x runtime: creat; verified
func,0xB152,umask,,platform,,MSC 4.x runtime: umask helper; likely
func,0xB165,_cinit,,platform,,MSC 4.x runtime: _cinit; verified
func,0xB214,exit,,platform,,MSC 4.x runtime: exit; likely
func,0xB22B,_exit,,platform,,MSC 4.x runtime: _exit; verified
func,0xB257,_ctermsub,,platform,,MSC 4.x runtime: _ctermsub; likely
func,0xB270,_initterm,,platform,,MSC 4.x runtime: _initterm; likely
func,0xB27F,_dosret0,,platform,,MSC 4.x runtime: _dosret0; likely
func,0xB287,_dosretax,,platform,,MSC 4.x runtime: _dosretax; likely
func,0xB2C7,fflush,,platform,,MSC 4.x runtime: fflush; likely
func,0xB32F,_input,,platform,,MSC 4.x runtime: _input (scanf engine); likely
func,0xB698,_input,,platform,,MSC 4.x runtime: _input helpers (0xB698–0xBAD8); guess
func,0xBAFF,itoa,,platform,,MSC 4.x runtime: itoa; likely
func,0xBB1A,_NMSG_TEXT,,platform,,MSC 4.x runtime: _NMSG_TEXT; likely
func,0xBB4A,_NMSG_WRITE,,platform,,MSC 4.x runtime: _NMSG_WRITE; verified
func,0xBB73,_output,,platform,,MSC 4.x runtime: _output (printf engine); verified
func,0xBE03,_output,,platform,,MSC 4.x runtime: _output helpers (0xBE03–0xC35A); likely
func,0xC382,_setargv,,platform,,MSC 4.x runtime: _setargv; likely
func,0xC467,_setenvp,,platform,,MSC 4.x runtime: _setenvp; likely
func,0xC4CD,strcat,,platform,,MSC 4.x runtime: strcat; verified
func,0xC4FE,strcpy,,platform,,MSC 4.x runtime: strcpy; verified
func,0xC523,_getstream,,platform,,MSC 4.x runtime: _getstream; likely
func,0xC55A,unlink,,platform,,MSC 4.x runtime: unlink; verified
func,0xC567,sbrk,,platform,,MSC 4.x runtime: sbrk; likely
func,0xC5D5,_growseg,,platform,,MSC 4.x runtime: _growseg; likely
func,0xC62B,_chkstk,,platform,,MSC 4.x runtime: _chkstk; verified
func,0xC644,isatty,,platform,,MSC 4.x runtime: isatty; likely
func,0xC6B2,ungetc,,platform,,MSC 4.x runtime: ungetc; likely
func,0xC70C,write,,platform,,MSC 4.x runtime: write; verified
func,0xC849,flushall,,platform,,MSC 4.x runtime: flushall; likely
func,0xC87A,_aNldiv,,platform,,MSC 4.x runtime: _aNldiv; verified
func,0xC91D,_aNlmul,,platform,,MSC 4.x runtime: _aNlmul; verified
func,0xC949,_aNlshl,,platform,,MSC 4.x runtime: _aNlshl; verified
func,0xC954,_aNlshr,,platform,long_sar_cl,verified | MSC 4.x runtime: _aNlshr; verified
func,0xC95F,_aNaldiv,,platform,ldiv_assign,verified; calls 0xC87A | MSC 4.x runtime: _aNaldiv; likely
func,0xC981,_aNalshl,,platform,,MSC 4.x runtime: _aNalshl; likely
func,0xDDC3,div0_isr,INT 0 handler (data segment),platform,,"AX=0xFFFF, skip 2-byte div, iret (installed in driving by 0x4908) [0xDDC3 (DGROUP:1423)]; verified"
global,DS:0040,str_herc,char[],platform,,"""herc"" command-line switch; written by const; read by main"
global,DS:0084,demo_mode,u16,simulation,g_attract,1 = attract/demo mode | nonzero = attract/demo autopilot; 1 = hold lane
global,DS:0086,g_carAutoSelected,int16,game_flow,,car chosen by timeout; forces car select
global,DS:0088,g_numCars,int16,game_flow,,lines read from CARS.TXT
